Date / Title,China,Mexico,India,USA,Indonesia,Brazil,Russia,Pakistan,Bangladesh,Japan,Nigeria
Image,https://alienart.io/public/emoji/twitter/1f1e8-1f1f3.svg,https://alienart.io/public/emoji/twitter/1f1f2-1f1fd.svg,https://alienart.io/public/emoji/twitter/1f1ee-1f1f3.svg,https://alienart.io/public/emoji/twitter/1f1fa-1f1f8.svg,https://alienart.io/public/emoji/twitter/1f1ee-1f1e9.svg,https://alienart.io/public/emoji/twitter/1f1e7-1f1f7.svg,https://alienart.io/public/emoji/twitter/1f1f7-1f1fa.svg,https://alienart.io/public/emoji/twitter/1f1f5-1f1f0.svg,https://alienart.io/public/emoji/twitter/1f1e7-1f1e9.svg,https://alienart.io/public/emoji/twitter/1f1ef-1f1f5.svg,https://alienart.io/public/emoji/twitter/1f1f3-1f1ec.svg
Bar Color,#f90c0c,#134e17,#ff9100,#fa0000,#ff0000,#4ba22c,#0d41fa,#0f3513,#173b16,#ff0000,#2e792f
2000,1242612300,0,1040000000,281421923,206264595,170000000,146000000,140691301,133127301,128000000,123691301
2001,1273300000,0,1033000000,284500000,206100000,171800000,145665893,143002321,135002321,128000000,126336427
2002,1300638221,0,1091276443,228127644,218191466,180127644,145000000,146103671,137735781,128000000,130103671
2003,1310000000,0,1122088258,291813239,222813239,183813239,145000000,146894071,138262714,128000000,130894071
2004,1314558192,0,1134558192,293911638,225367458,185911638,144000000,151333989,141222660,128000000,135445319
2005,1324289445,0,1148578890,295860656,227860656,187573771,143713115,154860656,143573771,128000000,140147541
2006,1332395754,0,1164791509,298718726,230718726,189479151,143000000,157718726,145479151,128239575,143718726
2007,1340000000,0,1184251313,301425131,233637697,191425131,143000000,160850263,147425131,129000000,146850263
2008,1342261378,0,1202261378,303678413,236678413,193452276,143000000,164678413,149226138,129000000,150904551
2009,1353612915,0,1217225829,307083874,240445166,195722583,143000000,158445166,150722583,129000000,155806457
2010,1360099257,0,1230198513,309019851,243029777,197019851,143000000,171029777,152019851,129000000,159039703
2011,1371450805,0,1251450805,311290161,246435242,199290161,143000000,174580322,154290161,128854919,163580322
2012,1380000000,0,1263982989,313597448,249597448,201199149,143199149,178796598,156398299,128000000,167995747
2013,1382938039,0,1282938039,316587608,252881412,202587608,144000000,183175216,158293804,128000000,173175216
2014,1391856522,0,1293713044,318371304,255556957,204371304,144000000,186556957,159371304,128000000,176928261
2015,1400000000,0,1313207280,320641456,258962184,206641456,144000000,190282912,161641456,128000000,182603640
2016,1401316607,128131661,1322633213,322263321,261394982,208131661,144000000,193526643,163263321,127868339,186658303
2017,1416315685,130263137,1346315685,325894706,265894706,210263137,144000000,199526274,165631569,0,194157843
2018,1420000000,131300561,1356011224,327601122,267901684,211300561,144000000,202202245,166601122,0,197502806
2019,1420000000,132749858,1373749290,329749858,270749858,212749858,144000000,206124787,168749858,0,202874645
2020,1420000000,134000000,1380000000,331000000,272000000,214000000,144000000,208000000,170000000,0,206000000
